Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
5,22,44.0,26,15,0,313,80.88,10,8,15,16,5,57,13,40.94,20,Louka Prip,prip-louka,,Konyaspor
4,11,39.29,70,29,10,503,76.68,47,37,29,30,10,64,4,40.72,23,Dries Mertens,dries-mertens,,Galatasaray
4,8,57.14,41,12,4,609,82.97,25,9,50,27,6,59,9,52.71,25,Anastasios Bakasetas,anastasios-bakasetas,,Trabzonspor
4,11,68.75,26,7,2,912,81.94,18,6,78,41,32,65,20,49.71,13,Tolga Ciğerci,tolga-cigerci,,MKE Ankaragücü
4,10,83.33,9,5,1,979,88.2,4,0,41,22,36,53,41,56.29,21,Jerome Opoku,opoku-jerome,,Başakşehir FK
4,52,60.47,46,19,2,575,77.6,27,5,29,49,31,163,28,52.33,63,Ibrahim Olawoyin,ibrahim-olawoyin,,Çaykur Rizespor
4,37,48.05,30,10,2,505,74.59,49,27,17,29,23,81,4,42.08,15,Sam Larsson,sam-larsson,,Antalyaspor
4,16,40.0,39,14,6,321,72.13,29,25,24,20,3,57,5,42.47,21,Milot Rashica,milot-rashica,,Beşiktaş
4,51,65.38,30,11,2,522,86.28,30,4,3,23,4,88,19,44.96,14,Oluwafisayo Dele-Bashiru,dele-bashiru-oluwafisayo,,Hatayspor
4,12,50.0,26,9,1,624,81.14,21,6,22,21,17,66,20,47.78,33,Marcus Rohdén,marcus-rohden,,Fatih Karagümrük
4,24,57.14,40,13,2,642,77.35,21,19,49,54,12,111,11,44.2,33,Florian Loshaj,florian-loshaj,,İstanbulspor
4,16,48.48,21,7,5,242,68.17,23,2,8,21,12,63,25,41.12,26,Benhur Keser,benhur-keser,,Çaykur Rizespor
4,11,55.0,25,9,1,142,72.45,3,1,5,0,1,25,19,42.31,14,Vincent Aboubakar,vincent-aboubakar,,Beşiktaş
4,18,51.43,20,8,5,431,68.2,20,18,28,41,16,69,31,48.31,10,Rigoberto Rivas,rigoberto-rivas,,Hatayspor
4,12,50.0,24,12,1,170,60.93,13,0,7,6,2,37,41,38.61,19,Renat Dadaşov,renat-dadasov,,Hatayspor
4,15,32.61,37,15,5,372,77.18,27,9,37,18,12,78,20,42.98,46,João Figueiredo,joao-figueiredo,,Başakşehir FK
4,2,33.33,30,13,1,174,73.42,6,0,11,3,2,26,8,43.59,21,Serdar Dursun,serdar-dursun,,Fenerbahçe
4,10,55.56,24,13,0,168,74.67,9,0,5,2,2,31,25,52.34,19,Bengali-Fodé Koita,bengali-fode-koita,Sivasspor,
4,15,44.12,25,15,1,273,79.36,14,0,12,18,5,55,14,38.76,23,Emir Kaan Gültekin,emir-kaan-gultekin,İstanbulspor,
3,22,62.86,51,14,10,835,74.55,82,50,71,52,15,131,20,52.25,58,Haris Hajradinović,haris-hajradinovic,Kasımpaşa,
3,19,67.86,13,4,8,781,75.46,63,61,69,62,44,96,21,63.59,16,Guilherme Haubert Sityá,guilherme-haubert-sitya,Konyaspor,
3,11,64.71,22,6,1,871,83.91,9,5,65,22,24,49,68,62.57,16,Abdülkerim Bardakcı,abdulkerim-bardakci,Galatasaray,
3,23,54.76,49,13,12,667,75.8,72,50,51,26,23,63,2,40.12,14,Edin Višća,edin-visca,Trabzonspor,
3,26,57.78,23,3,12,446,73.48,41,17,20,45,16,100,21,48.79,29,Emre Kılınç,emre-kilinc,Yılport Samsunspor,
3,48,57.83,35,10,5,472,75.16,29,6,17,47,13,124,49,52.42,31,Barış Alper Yılmaz,baris-alper-yilmaz,Galatasaray,
3,26,54.17,42,16,3,544,81.19,32,19,31,25,8,82,3,48.57,31,Enis Bardhi,enis-bardhi,Trabzonspor,
3,26,65.0,22,7,4,236,76.38,14,15,26,10,5,52,24,47.8,17,Didier Lamkel Zé,didier-lamkel-ze,Hatayspor,
3,10,76.92,21,5,2,660,78.67,29,17,87,41,11,75,20,55.56,24,Pedrinho,pedrinho,MKE Ankaragücü,
3,19,57.58,4,3,0,368,87.2,5,3,9,28,16,66,7,57.94,19,Bright Osayi-Samuel,bright-osayi-samuel,Fenerbahçe,
3,19,73.08,25,9,3,236,81.1,12,1,4,20,4,56,10,50.77,17,Thuram,thuram,Pendikspor,
3,17,50.0,30,7,5,777,79.86,28,7,89,46,15,77,42,46.12,15,Ali Karimi,ali-karimi,Kayserispor,
3,0,0.0,17,5,1,615,78.54,5,0,45,37,25,53,53,60.57,17,Arda Kızıldağ,arda-kizildag,Gaziantep FK,
3,3,42.86,15,6,1,736,81.96,6,0,60,26,18,39,50,53.61,10,Rick Van Drongelen,rick-van-drongelen,Yılport Samsunspor,
3,48,56.47,16,4,2,644,82.78,9,7,18,39,20,110,18,55.9,24,Loide Augusto,loide-augusto,Alanyaspor,
3,39,46.99,40,15,6,451,76.05,28,15,14,51,14,113,16,43.88,23,Halil Akbunar,halil-akbunar,Pendikspor,
3,14,58.33,23,12,3,260,78.79,12,10,16,16,7,34,4,41.3,4,Dimitrios Pelkas,dimitrios-pelkas,Başakşehir FK,
3,29,46.03,42,10,4,593,80.79,17,1,42,41,9,120,20,47.46,50,Dario Šarić,dario-saric,Antalyaspor,
3,39,55.71,40,18,3,198,73.88,14,2,4,26,12,89,13,47.66,24,Renaldo Cephas,renaldo-cephas,,MKE Ankaragücü
3,27,55.1,46,18,3,328,74.72,19,17,6,15,10,60,4,40.51,19,Can Keleş,can-keles,,Fatih Karagümrük
3,33,63.46,27,8,2,638,72.09,19,14,55,60,35,123,46,51.37,31,Cláudio Winck,claudio-winck,,Kasımpaşa
3,3,33.33,16,6,4,222,86.05,9,1,4,17,5,40,7,43.93,20,Mehdi Abeid,mehdi-abeid,,Başakşehir FK
3,13,50.0,25,13,2,224,77.24,16,10,11,10,3,40,10,40.65,19,Nani,nani,,Adana Demirspor
3,9,45.0,20,8,0,130,68.42,6,2,2,10,1,36,34,46.98,17,Sergio Córdova,sergio-cordova,,Alanyaspor
3,22,59.46,30,10,2,199,67.23,12,3,13,31,6,93,26,52.89,40,Carlos Eduardo,carlos-eduardo,,Alanyaspor
3,8,66.67,22,11,0,109,81.95,1,0,3,4,0,21,12,47.14,10,Stéphane Bahoken,stephane-bahoken,,Kayserispor
3,7,63.64,30,10,0,125,58.14,7,1,2,11,3,28,67,45.45,10,Ercan Kara,ercan-kara,,Yılport Samsunspor
3,13,61.9,32,13,1,177,69.41,9,0,9,5,3,35,27,32.8,17,Ali Sowe,ali-sowe,,MKE Ankaragücü
3,7,58.33,16,7,1,66,56.41,5,0,6,1,0,17,32,43.36,11,Riad Bajić,riad-bajic,,MKE Ankaragücü
2,38,56.72,47,19,9,321,78.87,39,27,44,18,7,72,2,51.39,17,Yusuf Sarı,yusuf-sari,,Adana Demirspor
2,34,70.83,28,5,1,723,83.87,24,6,44,75,27,164,14,57.98,55,Gedson Fernandes,gedson-fernandes,,Beşiktaş
2,6,85.71,15,4,0,836,82.61,3,0,53,31,18,50,45,57.58,13,Davinson Sánchez,davinson-sanchez,,Galatasaray
2,0,0.0,16,6,0,1062,83.36,3,1,55,14,37,26,103,68.25,17,Victor Nelsson,victor-nelsson,,Galatasaray
2,12,60.0,43,13,4,1013,79.39,34,28,196,26,13,49,15,56.64,11,Jonjo Shelvey,jonjo-shelvey,,Çaykur Rizespor
2,22,48.89,32,13,3,679,80.07,46,41,59,26,11,84,13,48.5,36,Deniz Türüç,deniz-turuc,,Başakşehir FK
2,6,60.0,17,5,0,786,85.71,0,0,56,27,45,44,66,63.95,12,Caner Osmanpaşa,caner-osmanpasa,,Sivasspor
2,24,47.06,17,8,4,712,81.65,36,16,31,43,4,133,14,56.32,66,Efecan Karaca,efecan-karaca,,Alanyaspor
2,28,51.85,29,12,9,706,82.96,55,46,74,27,11,83,11,43.72,29,Alexandru Maxim,alexandru-maxim,,Gaziantep FK
2,5,62.5,12,3,1,748,82.47,2,0,67,18,20,34,43,53.85,12,Attila Mocsi,attila-mocsi,,Çaykur Rizespor
2,4,57.14,10,2,0,692,79.91,12,0,50,47,41,67,41,59.02,17,Uğurcan Yazğılı,ugurcan-yazgili,,Konyaspor
2,14,87.5,24,5,4,625,86.09,25,20,44,21,6,39,3,46.15,4,Nicolas Janvier,nicolas-janvier,,Alanyaspor
2,4,50.0,43,14,1,722,77.47,10,1,54,41,42,78,55,65.52,36,Gökhan Gül,gokhan-gul,,Kasımpaşa
2,12,75.0,21,3,0,1047,84.98,6,1,104,29,24,57,25,52.23,17,Andreaw Gravillon,andreaw-gravillon,,Adana Demirspor
2,14,46.67,22,7,1,467,84.6,8,4,35,30,26,79,20,55.62,36,Ogün Özçiçek,ogun-ozcicek,,Gaziantep FK
2,11,57.89,19,5,2,414,79.16,16,9,23,32,17,51,12,53.39,10,Gökcan Kaya,gokcan-kaya,,Pendikspor
2,2,66.67,12,3,1,636,88.09,3,0,24,29,26,41,35,67.86,11,Nicolas N'Koulou,nicolas-nkoulou,,Gaziantep FK
2,23,48.94,27,6,5,607,74.94,26,15,49,29,37,76,17,47.21,25,Erdoğan Yeşilyurt,erdogan-yesilyurt,,Antalyaspor
2,29,70.73,41,13,1,251,75.15,7,2,11,26,9,80,40,58.82,25,Jackson Muleka,jackson-muleka,,Beşiktaş
2,4,44.44,16,5,3,552,80.12,20,18,93,22,10,39,14,54.64,13,Jure Balkovec,jure-balkovec,,Alanyaspor
2,5,71.43,14,3,0,628,80.51,9,0,59,31,29,52,37,53.61,17,Chandrel Massanga,chandrel-massanga,,Hatayspor
2,38,60.32,37,8,2,399,73.62,29,16,36,33,13,103,2,43.93,32,Olimpiu Moruțan,olimpiu-morutan,,MKE Ankaragücü
2,20,54.05,16,5,3,275,82.58,19,16,18,19,9,55,10,44.83,16,Ryan Mendes,ryan-mendes,,Fatih Karagümrük
2,4,66.67,15,5,1,802,79.17,8,2,83,40,32,63,25,56.41,19,Welinton,welinton,,Pendikspor
2,45,50.56,27,7,4,343,79.58,16,5,14,40,16,145,12,49.22,60,Marlos Moreno,marlos-moreno,,Konyaspor
2,18,54.55,16,9,2,331,78.62,17,9,14,13,7,38,3,40.59,7,Lazar Marković,lazar-markovic,,Gaziantep FK
2,44,50.57,35,15,8,313,72.79,31,10,26,19,8,78,13,50.0,15,Altin Zeqiri,zeqiri-altin,,Çaykur Rizespor
2,6,30.0,11,3,3,238,75.56,10,3,15,12,7,29,3,45.07,11,Carlos Mané,carlos-mane,,Kayserispor
2,7,63.64,9,4,1,158,76.7,11,5,21,4,6,13,1,45.16,2,Robert Murić,robert-muric,,Konyaspor
2,13,41.94,37,16,3,289,72.43,14,5,16,32,12,58,29,46.28,13,Sander van de Streek,sander-van-de-streek,,Antalyaspor
2,4,18.18,16,6,4,522,79.21,13,9,30,40,15,62,6,40.72,18,Yusuf Özdemir,yusuf-ozdemir,,Alanyaspor
2,20,35.71,29,7,3,234,69.64,25,15,10,11,5,56,7,37.06,25,Valon Ethemi,valon-ethemi,,Konyaspor
2,10,52.63,29,7,1,149,66.82,7,3,9,6,4,24,27,40.16,9,Kevin Lasagna,kevin-lasagna,,Fatih Karagümrük
2,0,0.0,8,2,0,55,63.22,4,0,0,1,0,10,15,35.71,10,Federico Macheda,federico-macheda,,MKE Ankaragücü
2,28,46.67,26,4,4,270,81.82,16,4,10,13,7,68,18,41.55,27,Babajide David Akintola,babajide-david-akintola,,Çaykur Rizespor
2,10,55.56,10,6,1,121,75.16,10,0,4,10,4,33,14,47.0,13,Yusuf Barasi,yusuf-barasi,,Adana Demirspor
2,24,50.0,22,12,1,180,72.87,13,3,3,11,3,38,5,34.13,3,Clinton N'Jie,clinton-njie,,Sivasspor
2,13,50.0,18,6,0,207,78.41,9,8,9,10,10,33,7,41.24,10,Abdoulay Diaby,abdoulay-diaby,,Pendikspor
1,49,62.82,24,9,8,1291,84.43,38,18,78,55,26,155,21,60.07,51,Ferdi Kadıoğlu,ferdi-kadioglu,,Fenerbahçe
1,6,46.15,24,3,4,1389,89.1,19,3,97,58,37,107,21,50.79,45,Lucas Torreira,lucas-torreira,,Galatasaray
1,3,100.0,10,1,1,805,84.92,5,0,74,27,39,46,45,62.76,17,Alexander Djiku,alexander-djiku,,Fenerbahçe
1,12,70.59,22,6,2,1067,88.25,13,1,45,56,58,95,61,60.47,29,Richard Cândido,richard-candido,,Alanyaspor
1,6,54.55,14,4,4,729,84.38,22,9,67,25,20,41,42,58.87,11,Kaan Ayhan,kaan-ayhan,,Galatasaray
1,17,48.57,11,4,0,716,83.26,18,10,24,36,27,69,28,48.74,18,Sacha Boey,boey-sacha,,Galatasaray
1,13,68.42,11,3,1,887,85.37,14,2,89,47,32,89,27,57.43,30,Berat Ayberk Özdemir,berat-ayberk-ozdemir,,Trabzonspor
1,20,66.67,15,3,3,546,80.06,17,6,47,36,11,76,15,51.41,20,Salih Uçan,salih-ucan,,Beşiktaş
1,24,42.11,49,13,14,487,79.84,49,34,20,24,8,74,26,43.67,27,Miguel Cardoso,miguel-cardoso,,Kayserispor
1,4,50.0,9,2,4,488,74.62,22,20,49,31,30,48,24,53.33,13,Zeki Yavru,zeki-yavru,,Yılport Samsunspor
1,7,53.85,24,4,3,752,80.17,19,19,36,43,36,57,14,50.0,7,Güray Vural,guray-vural,,Antalyaspor
1,4,44.44,12,6,0,672,77.51,9,0,69,28,32,34,44,62.4,2,Kenneth Omeruo,kenneth-omeruo,Kasımpaşa,
1,21,47.73,14,8,4,161,77.4,23,14,6,17,4,54,3,51.82,16,Modou Barrow,modou-barrow,Sivasspor,
1,4,50.0,11,6,0,899,87.11,14,0,51,18,11,28,63,65.94,7,Steven​ N'Zonzi,steven-nzonzi,Konyaspor,
1,7,43.75,9,2,4,381,81.24,17,5,16,18,19,35,11,48.42,12,Mert Müldür,mert-muldur,Fenerbahçe,
1,13,56.52,7,2,5,653,79.44,18,13,67,55,30,116,34,60.24,49,Ahmet Oğuz,ahmet-oguz,Konyaspor,
1,4,80.0,5,1,0,590,85.14,0,0,33,22,15,42,55,72.93,19,Bahadır Öztürk,bahadir-ozturk,Antalyaspor,
1,2,66.67,12,2,0,921,90.29,3,0,55,10,15,22,37,60.2,10,Stefano Denswil,stefano-denswil,Trabzonspor,
1,26,61.9,13,1,5,945,78.36,26,16,51,73,38,122,19,57.32,24,Münir Levent Mercan,munir-levent-mercan,Fatih Karagümrük,
1,4,66.67,25,4,0,1187,83.59,4,1,92,54,41,77,58,57.45,19,Veysel Sarı,veysel-sari,Antalyaspor,
1,34,50.0,14,3,6,662,78.34,23,15,32,55,44,146,16,57.04,57,Mustafa Eskihellaç,mustafa-eskihellac,Gaziantep FK,
1,3,75.0,11,5,2,302,79.06,19,26,17,12,7,21,22,58.11,6,Faouzi Ghoulam,faouzi-ghoulam,Hatayspor,
1,23,63.89,9,3,4,739,79.81,24,18,76,25,13,75,12,55.06,27,Léo Dubois,leo-dubois,Başakşehir FK,
1,4,66.67,15,2,3,782,71.94,13,5,107,31,59,41,63,65.41,6,Papy Djilobodji,papy-djilobodji,Gaziantep FK,
1,11,61.11,15,4,4,729,86.37,16,9,81,21,16,45,12,44.88,13,Görkem Sağlam,gorkem-saglam,Hatayspor,
1,19,73.08,19,6,2,403,79.17,21,10,42,14,7,51,14,48.51,18,Olivier Kemen,olivier-kemen,Başakşehir FK,
1,19,46.34,23,6,3,300,79.16,29,23,20,47,6,90,10,52.63,24,Gustavo Sauer,gustavo-sauer,Çaykur Rizespor,
