Gol,Gol Beklentisi (xG),Toplam Şut,İsabetli Şut,Pozisyonu Gole Çevirme %,Başarılı Top Sürme,Başarılı Top Sürme %,Yaratılan Büyük Şans,Kilit Pas,Rakip Gol Bölgesinde İsabetli Pas,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
6,7.89,35,16,17.14,16,50.0,2,8,48,47,36,43.23,21,Erencan Yardımcı,erencan-yardimci,Pendikspor,
5,4.34,52,18,9.62,27,65.85,13,69,365,109,17,53.39,41,Valentin Eysseric,valentin-eysseric,Fatih Karagümrük,
5,2.24,33,18,15.15,30,65.22,6,34,214,76,8,58.33,39,Samu Sáiz,samu-saiz,Sivasspor,
5,3.45,37,11,13.51,12,60.0,2,21,276,75,22,46.86,18,Tolga Ciğerci,tolga-cigerci,MKE Ankaragücü,
5,3.59,53,17,9.43,60,56.07,9,41,252,150,59,49.88,39,Barış Alper Yılmaz,baris-alper-yilmaz,Galatasaray,
5,4.55,56,20,8.93,21,43.75,7,41,198,75,8,44.86,29,Milot Rashica,milot-rashica,Beşiktaş,
5,4.06,53,20,9.43,54,52.43,8,34,238,142,26,46.03,25,Halil Akbunar,halil-akbunar,Pendikspor,
5,2.7,40,12,12.5,48,48.98,3,57,294,97,4,41.74,19,Sam Larsson,sam-larsson,Antalyaspor,
5,4.44,51,18,9.8,33,64.71,5,29,223,137,13,45.18,39,Florian Loshaj,florian-loshaj,İstanbulspor,
5,2.81,21,10,23.81,12,37.5,1,14,109,33,4,38.95,13,Nicolas Pépé,nicolas-pepe,Trabzonspor,
5,5.14,46,17,10.87,25,62.5,7,33,194,67,13,46.78,22,João Novais,joao-novais,Alanyaspor,
5,6.13,43,18,11.63,45,49.45,9,31,137,86,11,48.5,19,Altin Zeqiri,zeqiri-altin,Çaykur Rizespor,
5,3.4,31,12,16.13,25,51.02,11,29,178,86,38,47.69,14,Rigoberto Rivas,rigoberto-rivas,Hatayspor,
5,5.19,55,23,9.09,13,29.55,4,39,251,96,28,39.49,23,Carlo Holse,carlo-holse,Yılport Samsunspor,
5,4.92,46,19,10.87,19,51.35,4,16,93,48,33,32.27,21,Ali Sowe,ali-sowe,MKE Ankaragücü,
5,4.55,54,23,9.26,28,48.28,4,24,140,67,10,40.31,24,Can Keleş,can-keles,Fatih Karagümrük,
5,4.04,43,15,11.63,26,44.07,6,23,180,99,18,43.66,43,Yusuf Erdoğan,yusuf-erdogan,Adana Demirspor,
5,5.79,35,15,14.29,3,37.5,2,9,70,31,12,44.79,24,Serdar Dursun,serdar-dursun,Fenerbahçe,
5,5.68,26,14,19.23,12,50.0,1,14,75,39,42,38.39,20,Renat Dadaşov,renat-dadasov,Hatayspor,
5,2.59,28,16,17.86,24,45.28,0,10,108,62,13,40.32,21,Louka Prip,prip-louka,Konyaspor,
4,4.8,60,17,6.67,24,57.14,12,92,461,149,23,50.29,66,Haris Hajradinović,haris-hajradinovic,Kasımpaşa,
4,1.44,15,5,26.67,26,65.0,7,75,244,115,25,62.5,15,Guilherme Haubert Sityá,guilherme-haubert-sitya,Konyaspor,
4,2.71,41,12,9.76,8,57.14,4,25,187,59,9,52.71,25,Anastasios Bakasetas,anastasios-bakasetas,Trabzonspor,
4,2.68,27,7,14.81,11,61.11,1,8,141,52,84,60.99,17,Abdülkerim Bardakcı,abdulkerim-bardakci,Galatasaray,
4,4.01,58,15,6.9,26,50.98,15,84,345,72,2,39.78,18,Edin Višća,edin-visca,Trabzonspor,
4,2.07,30,5,13.33,30,54.55,13,49,259,123,25,48.68,37,Emre Kılınç,emre-kilinc,Yılport Samsunspor,
4,1.9,11,5,36.36,16,80.0,1,8,75,67,54,58.17,27,Jerome Opoku,opoku-jerome,Başakşehir FK,
4,2.18,31,9,12.9,21,91.3,4,27,254,53,3,49.12,7,Nicolas Janvier,nicolas-janvier,Alanyaspor,
4,3.14,24,10,16.67,24,54.55,1,17,142,38,3,45.05,6,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,Beşiktaş,
4,2.2,21,6,19.05,0,0.0,1,5,64,58,62,58.54,20,Arda Kızıldağ,arda-kizildag,Gaziantep FK,
4,2.09,31,10,12.9,12,42.86,2,27,218,81,24,47.51,40,Marcus Rohdén,marcus-rohden,Fatih Karagümrük,
4,1.56,18,10,22.22,8,34.78,2,19,80,35,4,37.86,12,Deian Sorescu,deian-sorescu,Gaziantep FK,
4,2.21,20,6,20.0,15,48.39,5,22,86,63,22,41.46,26,Benhur Keser,benhur-keser,Çaykur Rizespor,
4,2.22,29,15,13.79,13,46.43,2,17,130,43,15,40.28,19,Nani,nani,Adana Demirspor,
4,4.19,31,11,12.9,22,57.89,2,13,82,96,26,51.69,42,Carlos Eduardo,carlos-eduardo,,Alanyaspor
4,2.96,26,10,15.38,11,50.0,1,6,72,27,26,42.4,15,Vincent Aboubakar,vincent-aboubakar,,Beşiktaş
4,7.36,35,21,11.43,20,46.51,2,19,149,71,20,39.57,33,Emir Kaan Gültekin,emir-kaan-gultekin,,İstanbulspor
4,3.05,17,10,23.53,12,60.0,1,10,50,39,17,47.86,14,Yusuf Barasi,yusuf-barasi,,Adana Demirspor
4,4.04,17,8,23.53,7,58.33,1,7,34,17,36,44.17,11,Riad Bajić,riad-bajic,,MKE Ankaragücü
3,3.46,41,12,7.32,20,50.0,7,28,352,94,4,48.76,34,Fred,fred,,Fenerbahçe
3,2.92,59,24,5.08,45,58.44,9,48,158,89,2,52.91,23,Yusuf Sarı,yusuf-sari,,Adana Demirspor
3,5.7,40,16,7.5,32,54.24,12,68,327,95,13,44.44,33,Alexandru Maxim,alexandru-maxim,,Gaziantep FK
3,2.98,22,7,13.64,26,65.0,4,14,89,52,24,47.8,17,Didier Lamkel Zé,didier-lamkel-ze,,Hatayspor
3,0.92,4,3,75.0,24,63.16,1,8,138,89,13,60.36,27,Bright Osayi-Samuel,bright-osayi-samuel,,Fenerbahçe
3,1.09,27,5,11.11,11,68.75,2,35,214,91,25,56.59,28,Pedrinho,pedrinho,,MKE Ankaragücü
3,3.22,25,9,12.0,19,73.08,3,12,75,56,10,50.77,17,Thuram,thuram,,Pendikspor
3,3.23,32,7,9.38,18,51.43,6,31,238,81,46,45.85,16,Ali Karimi,ali-karimi,,Kayserispor
3,2.19,18,6,16.67,6,60.0,0,0,27,45,67,62.92,13,Caner Osmanpaşa,caner-osmanpasa,,Sivasspor
3,0.93,17,4,17.65,52,58.43,2,10,232,116,18,56.3,25,Loide Augusto,loide-augusto,,Alanyaspor
3,0.48,18,6,16.67,7,53.85,3,25,153,58,18,54.29,19,Jure Balkovec,jure-balkovec,,Alanyaspor
3,2.68,22,9,13.64,19,70.37,2,25,138,57,17,49.66,20,Olivier Kemen,olivier-kemen,,Başakşehir FK
3,1.69,29,7,10.34,25,51.02,5,30,190,94,21,49.36,29,Erdoğan Yeşilyurt,erdogan-yesilyurt,,Antalyaspor
3,1.32,19,6,15.79,4,44.44,1,6,95,55,69,50.61,15,Rick Van Drongelen,rick-van-drongelen,,Yılport Samsunspor
3,4.36,51,17,5.88,34,62.96,2,17,132,93,62,54.39,30,Jackson Muleka,jackson-muleka,,Beşiktaş
3,3.63,37,9,8.11,35,47.95,7,36,288,90,10,43.48,23,Alassane Ndao,ndao-alassane,,Konyaspor
3,2.54,45,10,6.67,33,46.48,4,20,205,134,20,46.53,59,Dario Šarić,dario-saric,,Antalyaspor
3,2.2,16,6,18.75,3,33.33,4,9,55,40,7,43.93,20,Mehdi Abeid,mehdi-abeid,,Başakşehir FK
3,4.71,43,19,6.98,40,53.33,3,14,67,93,14,46.72,26,Renaldo Cephas,renaldo-cephas,,MKE Ankaragücü
3,3.38,31,8,9.68,37,61.67,2,22,233,144,55,51.29,36,Cláudio Winck,claudio-winck,,Kasımpaşa
3,1.4,15,4,20.0,10,37.04,3,14,90,44,4,47.52,13,Carlos Mané,carlos-mane,,Kayserispor
3,3.11,20,8,15.0,9,45.0,0,6,59,36,34,46.98,17,Sergio Córdova,sergio-cordova,,Alanyaspor
3,3.52,30,10,10.0,7,63.64,0,7,52,28,67,45.45,10,Ercan Kara,ercan-kara,,Yılport Samsunspor
3,5.46,34,7,8.82,38,46.91,4,23,133,102,29,44.11,38,Babajide David Akintola,babajide-david-akintola,,Çaykur Rizespor
3,3.08,31,12,9.68,8,61.54,0,4,43,23,21,43.56,12,Stéphane Bahoken,stephane-bahoken,,Kayserispor
3,3.42,22,8,13.64,6,46.15,1,6,69,32,51,50.92,23,Mehmet Umut Nayir,mehmet-umut-nayir,,Pendikspor
3,3.79,33,9,9.09,14,63.64,3,11,78,64,26,41.1,27,Martin Minchev,minchev-martin,,Çaykur Rizespor
2,2.81,33,7,6.06,37,68.52,1,29,279,197,18,57.95,65,Gedson Fernandes,gedson-fernandes,,Beşiktaş
2,2.35,48,14,4.17,16,64.0,5,46,289,59,15,54.41,11,Jonjo Shelvey,jonjo-shelvey,,Çaykur Rizespor
2,1.56,19,6,10.53,1,100.0,0,4,89,40,121,69.4,23,Victor Nelsson,victor-nelsson,,Galatasaray
2,2.15,35,14,5.71,28,52.83,5,52,227,95,14,47.19,38,Deniz Türüç,deniz-turuc,,Başakşehir FK
2,2.19,11,2,18.18,3,75.0,1,6,107,56,58,60.64,20,Alexander Djiku,alexander-djiku,,Fenerbahçe
2,2.92,15,4,13.33,7,87.5,0,4,94,53,45,56.98,13,Davinson Sánchez,davinson-sanchez,,Galatasaray
2,3.18,21,9,9.52,30,46.88,7,48,330,159,16,57.19,78,Efecan Karaca,efecan-karaca,,Alanyaspor
2,0.95,15,8,13.33,5,50.0,1,16,218,34,79,64.57,8,Steven​ N'Zonzi,steven-nzonzi,,Konyaspor
